number,type,description
100,Emergency,Police Helpline
101,Emergency,Fire Brigade
102,Emergency,Ambulance
108,Emergency,Emergency Ambulance Response
112,Emergency,All-in-one Emergency Number
1091,Helpline,Women Helpline
1098,Helpline,Child Helpline
1930,Helpline,Cyber Crime Helpline
14567,Helpline,Senior Citizen Helpline
